"state","year","quarter","total_transactions","total_amount"
"kerala",2019,2,"7283826","13031371561.185568"
"kerala",2019,3,"9286096","16429809722.064445"
"kerala",2019,4,"12498637","21151326637.805134"
"kerala",2020,1,"15733522","26451084830.93425"
"kerala",2020,2,"16287967","25894078478.599953"
"kerala",2020,3,"21758680","40164150651.95372"
"kerala",2020,4,"33288187","56755256647.011795"
"kerala",2021,1,"42316342","69260970161.89497"
"kerala",2021,2,"47191033","74226806436.15614"
"kerala",2021,3,"63028266","101686161773.12894"
"kerala",2021,4,"81823741","123342136943.36395"
"kerala",2022,1,"95280965","139988942464.69464"
"kerala",2022,2,"106365322","154696329549.125"
"kerala",2022,3,"119362904","162260419315.42975"
"kerala",2022,4,"132960468","173559808599.71005"
"kerala",2023,1,"147621565","193637089677.0"
"kerala",2023,2,"156170617","207796670985.0"
"kerala",2023,3,"170658651","220332613329.0"
"kerala",2023,4,"179843093","224985321465.0"
"kerala",2024,1,"181463966","227077974738.0"
"kerala",2024,2,"194872467","242003822595.0"
"kerala",2024,3,"214695458","258302031309.0"
"kerala",2024,4,"233112441","273639970566.0"
"ladakh",2018,1,"6089","12532857.771114783"
"ladakh",2018,2,"15010","47334902.5377415"
"ladakh",2018,3,"24864","84090977.14484604"
"ladakh",2018,4,"35211","135522842.49263746"
"ladakh",2019,1,"46145","152859920.9491272"
"ladakh",2019,2,"68772","259255506.9974248"
"ladakh",2019,3,"92396","331129527.19382226"
"ladakh",2019,4,"84706","324689360.02811134"
"ladakh",2020,1,"116419","377639677.4457431"
"ladakh",2020,2,"155010","523792998.6520228"
"ladakh",2020,3,"228222","835487500.058193"
"ladakh",2020,4,"332134","1111963470.5079594"
"ladakh",2021,1,"275415","983419813.2468786"
"ladakh",2021,2,"399716","1427259095.4703174"
"ladakh",2021,3,"590987","2213984743.93459"
"ladakh",2021,4,"630187","2153535138.7802677"
"ladakh",2022,1,"630015","2025040918.8422096"
"ladakh",2022,2,"1118073","3543318177.9962664"
"ladakh",2022,3,"1190858","3605199350.373912"
"ladakh",2022,4,"1083372","2894477572.6789374"
"ladakh",2023,1,"1567246","3849021298.0"
"ladakh",2023,2,"2943815","7191103886.0"
"ladakh",2023,3,"3621366","8250572243.0"
"ladakh",2023,4,"3150218","6942986945.0"
"ladakh",2024,1,"2987101","6085390661.0"
"ladakh",2024,2,"5327359","10125723348.0"
"ladakh",2024,3,"6913885","12652871712.0"
"ladakh",2024,4,"5711284","10854417654.0"
"lakshadweep",2018,1,"778","1928611.1808777403"
"lakshadweep",2018,2,"2132","6187809.539400538"
"lakshadweep",2018,3,"1703","4339032.3119858485"
"lakshadweep",2018,4,"1642","4463213.698222831"
"lakshadweep",2019,1,"2481","8786130.479338994"
"lakshadweep",2019,2,"2926","9242524.13698889"
"lakshadweep",2019,3,"3104","9651761.463768471"
"lakshadweep",2019,4,"3765","11269913.40492385"
"lakshadweep",2020,1,"5151","13502368.57450421"
"lakshadweep",2020,2,"7220","16942922.08594439"
"lakshadweep",2020,3,"8589","21306833.308656827"
"lakshadweep",2020,4,"11650","30111317.917080387"
"lakshadweep",2021,1,"9085","27042782.914081153"
"lakshadweep",2021,2,"11384","27383463.657951534"
"lakshadweep",2021,3,"13370","38803163.698768154"
"lakshadweep",2021,4,"15470","50998185.528381005"
"lakshadweep",2022,1,"16397","54939432.65393007"
"lakshadweep",2022,2,"17569","55929601.98990567"
"lakshadweep",2022,3,"15241","47580009.61750026"
"lakshadweep",2022,4,"17147","54813873.614936255"
"lakshadweep",2023,1,"29520","85321961.0"
"lakshadweep",2023,2,"34918","97987438.0"
