"state","district","total_transactions","total_amount"
"odisha","kendrapara district","5017","6134577.0"
"madhya-pradesh","shahdol district","5011","6723695.0"
"assam","hojai district","4997","7798508.0"
"gujarat","sabar kantha district","4975","6689860.0"
"rajasthan","dholpur district","4967","6113167.0"
"rajasthan","baran district","4930","6486391.0"
"maharashtra","washim district","4924","6309442.0"
"telangana","nagarkurnool district","4919","5691709.0"
"himachal-pradesh","shimla district","4914","11198738.0"
"madhya-pradesh","rajgarh district","4871","6372369.0"
"tamil-nadu","kallakkurichi district","4856","6840995.0"
"rajasthan","banswara district","4841","7785641.0"
"uttar-pradesh","hathras district","4829","7512345.0"
"uttar-pradesh","auraiya district","4748","7567643.0"
"maharashtra","hingoli district","4666","5483796.0"
"telangana","adilabad district","4648","5584190.0"
"assam","biswanath district","4637","7990831.0"
"madhya-pradesh","vidisha district","4625","7082034.0"
"uttar-pradesh","sambhal district","4606","7764881.0"
"jharkhand","garhwa district","4580","5813509.0"
"jammu-&-kashmir","udhampur district","4547","8369476.0"
"madhya-pradesh","bhind district","4544","6671488.0"
"uttar-pradesh","kannauj district","4543","7843312.0"
"tamil-nadu","ariyalur district","4519","5542386.0"
"jammu-&-kashmir","kathua district","4487","8484092.0"
"madhya-pradesh","narsinghpur district","4474","6972176.0"
"bihar","kishanganj district","4472","5754545.0"
"jammu-&-kashmir","samba district","4463","8586639.0"
"uttar-pradesh","pilibhit district","4459","6776922.0"
"meghalaya","east khasi hills district","4428","8037418.0"
"punjab","kapurthala district","4424","7882853.0"
"jammu-&-kashmir","budgam district","4384","8328931.0"
"uttar-pradesh","etah district","4382","6842262.0"
"himachal-pradesh","una district","4353","8891442.0"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","4341","6517395.0"
"punjab","rupnagar district","4334","8568856.0"
"chhattisgarh","mahasamund district","4289","6468372.0"
"kerala","kasargod district","4265","6630403.0"
"assam","udalguri district","4237","6352855.0"
"telangana","hanumakonda district","4237","6536534.0"
"jharkhand","godda district","4219","5872564.0"
"punjab","fazilka district","4193","8799774.0"
"madhya-pradesh","neemuch district","4105","6262199.0"
"madhya-pradesh","shivpuri district","4090","6335458.0"
"rajasthan","dungarpur district","4022","6455258.0"
"uttar-pradesh","bhadohi district","4012","5761828.0"
"chhattisgarh","baloda bazar district","4007","5470952.0"
"jammu-&-kashmir","anantnag district","3984","8832147.0"
"assam","marigaon district","3980","5924712.0"
"madhya-pradesh","east nimar district","3951","4955340.0"
"assam","karbi anglong district","3949","6862848.0"
"telangana","jogulamba gadwal district","3917","3839517.0"
"madhya-pradesh","mandla district","3813","5140856.0"
"andhra-pradesh","anakapalli district","3810","4468572.0"
"madhya-pradesh","shajapur district","3800","4904578.0"
"uttarakhand","tehri garhwal district","3798","6507159.0"
"odisha","angul district","3762","5072341.0"
"madhya-pradesh","barwani district","3747","4783779.0"
"west-bengal","jhargram district","3704","5541188.0"
"telangana","kumuram bheem asifabad district","3702","4494660.0"
"odisha","nabarangpur district","3680","5868541.0"
"madhya-pradesh","jhabua district","3657","4069073.0"
"odisha","nayagarh district","3619","4450688.0"
"rajasthan","khairthal tijara district","3596","5047574.0"
"uttar-pradesh","sant kabeer nagar district","3594","5790018.0"
"bihar","lakhisarai district","3594","4429628.0"
"gujarat","amreli district","3568","4897401.0"
"uttar-pradesh","kasganj district","3549","5627097.0"
"gujarat","dohad district","3490","4344431.0"
"punjab","tarn taran district","3477","8098186.0"
"uttarakhand","pithoragarh district","3465","5935297.0"
"madhya-pradesh","anuppur district","3436","5107306.0"
"jharkhand","dumka district","3425","4980184.0"
"himachal-pradesh","chamba district","3416","5892945.0"
"odisha","kandhamal district","3398","4418898.0"
"arunachal-pradesh","papum pare district","3392","7643400.0"
"punjab","mansa district","3384","4848702.0"
"assam","dhemaji district","3382","6675847.0"
"uttarakhand","almora district","3373","6136589.0"
"assam","hailakandi district","3373","6082604.0"
"uttar-pradesh","banda district","3338","5243550.0"
"bihar","kaimur bhabua district","3303","4929058.0"
"gujarat","gir somnath district","3263","4897487.0"
"uttar-pradesh","balrampur district","3246","5474416.0"
"telangana","jaya shankar bhalupally district","3238","4100342.0"
"uttar-pradesh","lalitpur district","3198","5221649.0"
"chhattisgarh","surajpur district","3182","5799292.0"
"uttar-pradesh","kaushambi district","3152","5198021.0"
"west-bengal","cooch behar district","3146","3926908.0"
"rajasthan","sri ganganagar district","3142","6972365.0"
"odisha","gajapati district","3139","3868039.0"
"chhattisgarh","kanker district","3133","4800518.0"
"chhattisgarh","dhamtari district","3128","5097618.0"
"rajasthan","kotputli behror district","3115","4809549.0"
"bihar","purnea district","3097","4617985.0"
"jammu-&-kashmir","baramulla district","3084","6998606.0"
"nagaland","dimapur district","3051","5469110.0"
"chhattisgarh","balod district","3045","4634060.0"
"chhattisgarh","korea district","3034","5032304.0"
"punjab","firozepur district","3027","5612425.0"
"assam","charaideo district","3015","5681994.0"
"jharkhand","koderma district","3005","4035974.0"
"gujarat","aravallis district","2985","4298745.0"
"andhra-pradesh","ananthapuramu district","2982","5131292.0"
"jharkhand","chatra district","2973","3873048.0"
"karnataka","chikkaballapur district","2966","5467687.0"
"madhya-pradesh","damoh district","2953","3689792.0"
"gujarat","porbandar district","2910","4271474.0"
"jharkhand","latehar district","2900","3422675.0"
"andhra-pradesh","eluru district","2897","4276326.0"
"himachal-pradesh","kullu district","2885","5507406.0"
"telangana","wanaparthy district","2880","3350371.0"
"gujarat","tapi district","2864","5643421.0"
"jammu-&-kashmir","pulwama district","2823","6243852.0"
"jharkhand","seraikela kharsawan district","2816","3662032.0"
"rajasthan","pratapgarh district","2795","4657103.0"
