"pincode","registered_users"
"302017","210495"
"560037","210439"
"800001","210421"
"411033","210139"
"396191","209998"
"244001","209784"
"382415","209511"
"302029","209507"
"395003","209495"
"110086","209488"
"518002","209376"
"635109","209319"
"600100","209231"
"495001","209069"
"410206","208988"
"382345","208970"
"560079","208938"
"452010","208931"
"396230","208830"
"502032","208820"
"474001","208417"
"500039","208214"
"515001","207830"
"211002","207823"
"516001","207725"
"431003","207632"
"455001","207599"
"505001","207595"
"411014","207577"
"110044","207511"
"485001","207361"
"751002","207290"
"520001","207237"
"517507","207174"
"530026","206906"
"110092","206805"
"110059","206537"
"500018","206235"
"826001","206099"
"302001","206038"
"700135","205916"
"482001","205810"
"110053","205752"
"711101","205645"
"524002","205559"
"506002","205418"
"492001","205399"
"121001","205343"
"202001","205129"
"385535","204941"
"516360","204900"
"382350","204832"
"302020","204686"
"500013","204597"
"301001","204447"
"497001","204368"
"602105","204324"
"530016","204230"
"334001","204021"
"802301","203971"
"421301","203721"
"250001","203632"
"823001","203574"
"560043","203567"
"560037","203140"
"845438","203029"
"517501","203005"
"482002","202915"
"843302","202753"
"480001","202602"
