"state","year","quarter","transactions"
"puducherry",2021,2,"3751387"
"puducherry",2021,3,"5121726"
"puducherry",2021,4,"6368810"
"puducherry",2022,1,"7359176"
"puducherry",2022,2,"8643687"
"puducherry",2022,3,"7042727"
"puducherry",2022,4,"7556127"
"puducherry",2023,1,"10144295"
"puducherry",2023,2,"11130326"
"puducherry",2023,3,"12379641"
"puducherry",2023,4,"12986163"
"puducherry",2024,1,"13446950"
"puducherry",2024,2,"14564895"
"puducherry",2024,3,"16008711"
"puducherry",2024,4,"16559677"
"punjab",2018,1,"1870433"
"punjab",2018,2,"2581163"
"punjab",2018,3,"3462108"
"punjab",2018,4,"4887137"
"punjab",2019,1,"7172137"
"punjab",2019,2,"8509830"
"punjab",2019,3,"10706812"
"punjab",2019,4,"13698625"
"punjab",2020,1,"15217784"
"punjab",2020,2,"14081294"
"punjab",2020,3,"17209573"
"punjab",2020,4,"22997925"
"punjab",2021,1,"26770835"
"punjab",2021,2,"32171248"
