"state","district","registered_users"
"uttar-pradesh","gautam buddha nagar district","2030178"
"punjab","ludhiana district","2030159"
"madhya-pradesh","indore district","2028266"
"maharashtra","ahmednagar district","2027819"
"uttar-pradesh","varanasi district","2027531"
"odisha","khordha district","2025108"
"west-bengal","murshidabad district","2023550"
"andhra-pradesh","prakasam district","2022873"
"maharashtra","nagpur district","2020264"
"haryana","faridabad district","2018956"
"andhra-pradesh","kurnool district","2018290"
"delhi","west district","2017435"
"maharashtra","raigad district","2017277"
"gujarat","ahmadabad district","2015947"
"rajasthan","alwar district","2015122"
"andhra-pradesh","ntr district","2010922"
"bihar","patna district","2010353"
"madhya-pradesh","bhopal district","2009655"
"delhi","north west district","2008098"
"west-bengal","hooghly district","2007748"
"andhra-pradesh","chittoor district","2007011"
"andhra-pradesh","east godavari district","2006272"
"rajasthan","jodhpur district","2004056"
"karnataka","belagavi district","2003090"
"uttar-pradesh","prayagraj district","2002831"
"andhra-pradesh","krishna district","2002662"
"telangana","rangareddy district","2001437"
"uttar-pradesh","varanasi district","2000419"
"maharashtra","aurangabad district","1996927"
"gujarat","vadodara district","1996837"
"west-bengal","south twenty four parganas district","1993465"
"delhi","central district","1990109"
"tamil-nadu","chennai district","1988355"
"delhi","south east delhi district","1980915"
"andhra-pradesh","west godavari district","1980446"
"andhra-pradesh","ysr district","1976516"
"maharashtra","kolhapur district","1976288"
"maharashtra","pune district","1974138"
"maharashtra","mumbai district","1972178"
"tamil-nadu","thiruvallur district","1970646"
"maharashtra","solapur district","1970077"
"andhra-pradesh","guntur district","1968681"
"west-bengal","north twenty four parganas district","1966125"
"kerala","ernakulam district","1964544"
"telangana","medchal malkajgiri district","1963353"
"karnataka","mysuru district","1962181"
"uttar-pradesh","kanpur nagar district","1960237"
"tamil-nadu","chengalpattu district","1959401"
"maharashtra","palghar district","1957628"
"west-bengal","hooghly district","1957356"
"punjab","ludhiana district","1957125"
"andhra-pradesh","spsr nellore district","1956706"
"delhi","central district","1956609"
"tamil-nadu","coimbatore district","1955681"
"andhra-pradesh","ntr district","1953695"
"delhi","north west district","1953572"
"haryana","gurugram district","1949331"
"west-bengal","kolkata district","1944113"
"west-bengal","murshidabad district","1943677"
"maharashtra","raigad district","1942119"
"delhi","new delhi district","1940666"
"maharashtra","ahmednagar district","1940071"
"andhra-pradesh","prakasam district","1939979"
"uttar-pradesh","lucknow district","1937173"
"gujarat","surat district","1935894"
"delhi","north west district","1933267"
"rajasthan","jodhpur district","1933181"
"karnataka","belagavi district","1932291"
"rajasthan","alwar district","1931404"
"west-bengal","hooghly district","1930844"
"haryana","faridabad district","1930743"
"andhra-pradesh","anantapur district","1928213"
"andhra-pradesh","tirupati district","1927263"
"jharkhand","ranchi district","1925740"
"uttar-pradesh","varanasi district","1924417"
"odisha","khordha district","1924289"
"andhra-pradesh","kurnool district","1924127"
"gujarat","vadodara district","1923948"
"uttar-pradesh","prayagraj district","1923415"
"karnataka","bengaluru urban district","1922368"
"madhya-pradesh","bhopal district","1915532"
"west-bengal","south twenty four parganas district","1913867"
"delhi","north west district","1907401"
"maharashtra","nashik district","1907318"
"delhi","west district","1905278"
"andhra-pradesh","ysr district","1905157"
"maharashtra","kolhapur district","1904855"
"andhra-pradesh","visakhapatnam district","1904719"
